_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,黑龙江,5,944,13,587,1.38,62.18
2,香港,0,1037,4,846,0.39,81.58
3,台湾,0,429,6,322,1.40,75.06
4,陕西,0,306,3,254,0.98,83.01
5,内蒙古,1,201,1,152,0.50,75.62
6,上海,5,652,7,599,1.07,91.87
7,北京,0,593,9,547,1.52,92.24
8,山西,0,197,0,172,0.00,87.31
9,广东,0,1588,8,1565,0.50,98.55
10,澳门,0,45,0,35,0.00,77.78
11,吉林,0,111,1,101,0.90,90.99
12,山东,0,787,7,772,0.89,98.09
13,河北,0,328,6,318,1.83,96.95
14,天津,0,190,3,184,1.58,96.84
15,浙江,0,1268,1,1264,0.08,99.68
16,江苏,0,653,0,650,0.00,99.54
17,福建,1,356,1,353,0.28,99.16
18,云南,0,185,2,181,1.08,97.84
19,辽宁,0,146,2,143,1.37,97.95
20,四川,0,561,3,558,0.53,99.47
21,湖南,0,1019,4,1015,0.39,99.61
22,重庆,0,579,6,573,1.04,98.96
23,江西,0,937,1,936,0.11,99.89
24,海南,0,168,6,162,3.57,96.43
25,西藏,0,1,0,1,0.00,100.00
26,贵州,0,147,2,145,1.36,98.64
27,青海,0,18,0,18,0.00,100.00
28,安徽,0,991,6,985,0.61,99.39
29,广西,0,254,2,252,0.79,99.21
30,新疆,0,76,3,73,3.95,96.05
31,湖北,0,68128,4512,63616,6.62,93.38
32,甘肃,0,139,2,137,1.44,98.56
33,河南,0,1276,22,1254,1.72,98.28
34,宁夏,0,75,0,75,0.00,100.00
